"","ARD","Bin Assignment","Frequency"
"1","aad(6)","uncultured euryarchaeote",1
"2","aad(6)","uncultured Lachnospiraceae bacterium",1
"3","aad(6)","uncultured Prevotella sp.",1
"4","ANT(6)-Ib","uncultured bacterium",3
"5","ANT(6)-Ib","uncultured euryarchaeote",1
"6","ANT(6)-Ib","uncultured Clostridiales bacterium",5
"7","ANT(6)-Ib","uncultured Bacteroidetes bacterium",1
"8","ANT(6)-Ib","uncultured Clostridia bacterium",1
"9","ANT(6)-Ib","uncultured Selenomonadales bacterium",1
"10","APH(3')-IIIa","uncultured euryarchaeote",2
"11","APH(3')-IIIa","uncultured Prevotella sp.",1
"12","APH(3')-IIIa","uncultured Lachnospiraceae bacterium",1
"13","ErmG","uncultured Clostridiales bacterium",1
"14","lnuC","uncultured bacterium",2
"15","lnuC","uncultured Lachnospiraceae bacterium",1
"16","lnuC","uncultured Clostridiales bacterium",3
"17","mefA","uncultured Clostridiales bacterium",1
"18","SAT-4","uncultured euryarchaeote",1
"19","SAT-4","uncultured Lachnospiraceae bacterium",1
"20","SAT-4","uncultured Prevotella sp.",1
"21","sul2","uncultured Selenomonadales bacterium",1
"22","sul2","uncultured Clostridiales bacterium",1
"23","sul2","uncultured bacterium",1
"24","tet(40)","uncultured gamma proteobacterium",3
"25","tet(40)","uncultured bacterium",1
"26","tet(40)","uncultured Selenomonadales bacterium",1
"27","tet32","uncultured Clostridiales bacterium",2
"28","tet44","uncultured bacterium",4
"29","tet44","uncultured euryarchaeote",4
"30","tet44","uncultured Clostridiales bacterium",2
"31","tetA(P)","uncultured Clostridiales bacterium",2
"32","tetA(P)","uncultured bacterium",1
"33","tetO","uncultured Clostridiales bacterium",9
"34","tetO","uncultured gamma proteobacterium",1
"35","tetO","uncultured Lachnospiraceae bacterium",2
"36","tetO","uncultured bacterium",2
"37","vanG","uncultured bacterium",1
"38","vanTG","uncultured Lachnospiraceae bacterium",1
"39","vanTG","uncultured bacterium",1
"40","vanWG","uncultured bacterium",1
