"","col_num","Fermicute","Bacteria","pick"
"1",7,"n","y","yes"
"2",8,"n","y","yes"
"3",10,"n","y","yes"
"4",11,"n","y","yes"
"5",19,"n","y","yes"
"6",20,"n","y","yes"
"7",30,"n","y","yes"
"8",31,"n","y","yes"
"9",32,"n","y","yes"
"10",35,"n","y","yes"
"11",40,"n","y","yes"
"12",41,"n","y","yes"
"13",53,"-","y","yes"
"14",60,"n","y","yes"
"15",63,"n","y","yes"
"16",64,"n","y","yes"
"17",66,"n","y","yes"
"18",67,"n","y","yes"
"19",78,"n","y","yes"
"20",83,"n","y","yes"
"21",84,"n","y","yes"
"22",85,"n","y","yes"
"23",86,"n","y","yes"
"24",87,"n","y","yes"
"25",88,"n","y","yes"
"26",89,"n","y","yes"
"27",90,"n","y","yes"
"28",91,"n","y","yes"
"29",92,"n","y","yes"
"30",94,"n","y","yes"
"31",108,"-","y","yes"
